input,cores,run1,run2,run3
100000,2,269.91,268.73,269.04
100000,4,92.23,91.56,92.78
100000,8,43.70,42.09,40.07
100000,12,29.51,28.81,28.91
100000,16,20.84,19.04,21.70
100000,20,14.94,17.15,17.05
100000,24,13.65,12.57,14.44
100000,28,11.47,11.39,12.44
100000,32,10.28,9.68,10.55
100000,36,8.91,8.69,9.00
100000,40,8.75,8.73,8.31
100000,44,7.49,7.21,7.53
100000,48,6.87,6.91,7.13
100000,52,6.60,6.77,6.81
100000,56,6.24,6.24,6.31
100000,60,5.77,5.85,5.86
100000,64,5.63,5.62,5.59
100000,64,5.57,5.40,5.63
100000,68,5.23,5.43,5.38
100000,72,5.04,4.90,4.94
100000,76,4.59,4.56,4.74
100000,80,4.50,4.49,4.53
100000,84,4.25,4.34,4.27
100000,88,4.07,4.09,4.22
100000,92,4.10,4.10,4.14
100000,96,3.90,3.92,3.91
100000,100,3.70,3.65,3.73
100000,104,3.73,3.66,3.73
100000,108,3.62,3.59,3.64
100000,112,3.67,3.43,3.43
100000,116,3.28,3.55,3.39
100000,120,3.25,3.15,3.27
100000,124,3.06,3.23,3.12
100000,128,3.07,3.09,3.10
100000,132,3.00,3.14,3.13
100000,136,3.00,3.07,2.99
100000,140,2.90,2.85,2.96
100000,144,2.86,2.81,2.72
100000,148,2.71,2.69,2.74
100000,152,2.78,2.80,3.06
100000,156,2.71,2.62,2.78
100000,160,2.67,2.66,2.62
100000,164,2.57,2.64,2.57
100000,168,2.64,2.62,2.60
100000,172,2.52,2.53,2.60
100000,176,2.49,2.53,2.50
100000,180,2.53,2.53,2.46
100000,184,2.67,2.90,2.57
100000,188,2.53,2.47,2.50
