input,cores,run1,run2,run3,run4,run5
100000,1,156.213412,157.391032,156.874912,157.001123,156.982341
100000,2,80.121843,80.232194,80.019812,80.182391,80.149387
100000,4,45.124839,45.318921,45.238034,45.209841,45.401232
100000,8,28.190764,28.312094,28.241093,28.218429,28.305784
100000,12,21.190754,21.218903,21.245986,21.198634,21.225983
100000,16,16.185923,16.273219,16.192342,16.241598,16.234908
100000,20,12.612347,12.653284,12.693214,12.641283,12.604192
100000,24,10.582348,10.671982,10.589761,10.612893,10.629874
100000,28,8.390894,8.476218,8.412309,8.428593,8.450203
100000,32,7.103764,7.193482,7.124382,7.169048,7.125938
100000,36,5.905872,5.978234,5.934182,5.923584,5.955762
100000,40,4.987234,5.091283,5.029871,5.047483,5.019285
100000,44,4.003184,4.091928,4.019387,4.043896,4.029874
100000,48,3.401298,3.482394,3.421098,3.439274,3.429850
100000,52,2.845382,2.912478,2.873029,2.882197,2.892413
100000,56,2.313975,2.384129,2.349723,2.352417,2.361029
100000,60,1.901239,1.978423,1.929801,1.943728,1.960593
100000,64,1.612984,1.698324,1.653821,1.649731,1.664802
100000,68,1.412853,1.478301,1.442983,1.463928,1.437501
100000,72,1.210489,1.309482,1.231982,1.294380,1.267810
100000,76,1.038129,1.129834,1.084391,1.093024,1.067894
100000,80,0.912382,0.973294,0.943821,0.948391,0.932801
100000,84,0.832490,0.903824,0.869482,0.874309,0.854238
100000,88,0.754893,0.812493,0.783947,0.792184,0.770483
100000,92,0.691230,0.742903,0.713048,0.722839,0.704182
100000,96,0.641203,0.690284,0.659823,0.674391,0.652890
100000,100,0.592394,0.631827,0.603748,0.618401,0.598234
100000,104,0.554218,0.590429,0.561028,0.573902,0.552389
100000,108,0.512390,0.546281,0.520394,0.534810,0.518920
100000,112,0.475813,0.505293,0.487920,0.498473,0.480192
100000,116,0.451039,0.478320,0.460298,0.471839,0.453890
100000,120,0.428904,0.455309,0.439281,0.450230,0.432148
100000,124,0.402183,0.427890,0.413928,0.421847,0.406281
100000,128,0.379483,0.401293,0.386749,0.392934,0.378104
100000,132,0.358291,0.379483,0.364982,0.371239,0.356810
100000,136,0.339184,0.358902,0.344823,0.352048,0.337192
100000,140,0.320478,0.339049,0.325890,0.332182,0.317038
100000,144,0.304721,0.321938,0.308482,0.315294,0.300194
100000,148,0.291038,0.306483,0.293290,0.299421,0.285904
100000,152,0.279492,0.294190,0.280903,0.287349,0.273802
100000,156,0.268903,0.283482,0.269749,0.275293,0.261390
100000,160,0.259349,0.273920,0.260932,0.266480,0.252394
100000,164,0.250839,0.265284,0.252480,0.257902,0.243890
100000,168,0.243291,0.257839,0.244902,0.250390,0.236480
100000,172,0.236482,0.251293,0.237923,0.243810,0.229384
100000,176,0.230238,0.244982,0.231294,0.236473,0.223894
100000,180,0.224749,0.239289,0.226490,0.231289,0.218284
100000,184,0.219238,0.234198,0.221849,0.226490,0.213490
100000,188,0.214392,0.229491,0.216490,0.221348,0.208192
100000,192,0.209839,0.225039,0.212983,0.216932,0.203981
