input,cores,run1,run2,run3
15000,192,1.11,1.14,1.07
15000,188,1.10,0.72,1.04
15000,184,1.12,1.12,1.04
15000,180,1.03,0.95,1.02
15000,176,1.13,1.04,1.00
15000,172,1.08,1.03,1.13
15000,168,0.97,0.86,0.93
15000,164,0.87,1.19,1.05
15000,160,0.97,1.02,0.94
15000,156,1.08,0.95,0.80
15000,152,0.85,0.89,0.84
15000,148,0.82,0.78,0.76
15000,144,0.86,0.83,0.80
15000,140,0.82,0.86,0.76
15000,136,0.80,0.67,0.89
15000,132,0.83,1.04,0.86
15000,128,0.87,0.73,0.71
15000,124,0.74,0.63,0.79
15000,120,0.85,0.78,0.73
15000,116,0.66,0.70,0.74
15000,112,0.65,0.68,0.78
15000,108,0.74,0.88,0.87
15000,104,0.41,0.37,0.49
15000,100,0.51,0.44,0.94
15000,96,0.87,0.95,0.64
15000,92,0.73,0.77,0.69
15000,88,0.71,0.67,0.78
15000,84,0.89,0.80,0.85
15000,80,0.70,0.67,0.73
15000,76,0.76,0.77,0.71
15000,72,0.69,0.70,0.65
15000,68,0.61,0.77,0.63
15000,64,0.40,0.44,0.32
15000,60,0.41,0.35,0.39
15000,56,0.42,0.42,0.46
15000,52,0.36,0.38,0.42
15000,48,0.37,0.40,0.47
15000,44,0.32,0.32,0.37
15000,40,0.34,0.32,0.36
15000,36,0.42,0.35,0.38
15000,32,0.40,0.36,0.31
15000,28,0.38,0.35,0.36
15000,24,0.40,0.41,0.36
15000,20,0.39,0.38,0.39
15000,16,0.50,0.48,0.41
15000,12,0.57,0.59,0.56
15000,8,0.84,0.80,0.81
15000,4,1.84,1.84,1.84
15000,2,6.49,5.27,5.26
15000,1,13.45,13.42,13.53
