input,cores,run1,run2,run3
15000,192, 1.11s, 1.14s, 1.07s
15000,188, 1.10s, 0.72s, 1.04s
15000,184, 1.12s, 1.12s, 1.04s
15000,180, 1.03s, 0.95s, 1.02s
15000,176, 1.13s, 1.04s, 1.00s
15000,172, 1.08s, 1.03s, 1.13s
15000,168, 0.97s, 0.86s, 0.93s
15000,164, 0.87s, 1.19s, 1.05s
15000,160, 0.97s, 1.02s, 0.94s
15000,156, 1.08s, 0.95s, 0.80s
15000,152, 0.85s, 0.89s, 0.84s
15000,148, 0.82s, 0.78s, 0.76s
15000,144, 0.86s, 0.83s, 0.80s
15000,140, 0.82s, 0.86s, 0.76s
15000,136, 0.80s, 0.67s, 0.89s
15000,132, 0.83s, 1.04s, 0.86s
15000,128, 0.87s, 0.73s, 0.71s
15000,124, 0.74s, 0.63s, 0.79s
15000,120, 0.85s, 0.78s, 0.73s
15000,116, 0.66s, 0.70s, 0.74s
15000,112, 0.65s, 0.68s, 0.78s
15000,108, 0.74s, 0.88s, 0.87s
15000,104, 0.41s, 0.37s, 0.49s
15000,100, 0.51s, 0.44s, 0.94s
15000,96, 0.87s, 0.95s, 0.64s
15000,92, 0.73s, 0.77s, 0.69s
15000,88, 0.71s, 0.67s, 0.78s
15000,84, 0.89s, 0.80s, 0.85s
15000,80, 0.70s, 0.67s, 0.73s
15000,76, 0.76s, 0.77s, 0.71s
15000,72, 0.69s, 0.70s, 0.65s
15000,68, 0.61s, 0.77s, 0.63s
15000,64, 0.40s, 0.44s, 0.32s
15000,60, 0.41s, 0.35s, 0.39s
15000,56, 0.42s, 0.42s, 0.46s
15000,52, 0.36s, 0.38s, 0.42s
15000,48, 0.37s, 0.40s, 0.47s
15000,44, 0.32s, 0.32s, 0.37s
15000,40, 0.34s, 0.32s, 0.36s
15000,36, 0.42s, 0.35s, 0.38s
15000,32, 0.40s, 0.36s, 0.31s
15000,28, 0.38s, 0.35s, 0.36s
15000,24, 0.40s, 0.41s, 0.36s
15000,20, 0.39s, 0.38s, 0.39s
15000,16, 0.50s, 0.48s, 0.41s
15000,12, 0.57s, 0.59s, 0.56s
15000,8, 0.84s, 0.80s, 0.81s
15000,4, 1.84s, 1.84s, 1.84s
15000,2, 6.49s, 5.27s, 5.26s
15000,1, Same as sequential
30000,192,
