input,cores,run1,run2,run3
30000,192, 1.19s, 1.35s, 1.80s
30000,188, 1.16s, 1.23s, 1.35s
30000,184, 1.20s, 1.20s, 1.28s
30000,180, 1.21s, 1.30s, 1.14s
30000,176, 1.20s, 1.16s, 1.17s
30000,172, 1.12s, 1.21s, 1.15s
30000,168, 0.70s, 0.72s, 0.88s
30000,164, 0.74s, 0.80s, 0.80s
30000,160, 0.65s, 0.70s, 0.80s
30000,156, 0.72s, 0.76s, 0.73s
30000,152, 1.10s, 1.17s, 0.76s
30000,148, 0.75s, 0.77s, 1.04s
30000,144, 0.75s, 0.77s, 0.65s
30000,140, 0.72s, 0.61s, 0.66s
30000,136, 0.57s, 0.77s, 1.05s
30000,132, 0.63s, 0.69s, 0.97s
30000,128, 0.97s, 0.97s, 0.92s
30000,124, 0.95s, 0.58s, 0.74s
30000,120, 1.15s, 0.67s, 0.83s
30000,116, 1.16s, 0.62s, 0.69s
30000,112, 0.91s, 1.00s, 1.17s
30000,108, 0.58s, 0.67s, 0.59s
30000,104, 1.02s, 0.66s, 0.64s
30000,100, 0.62s, 0.69s, 0.93s
30000,96, 1.01s, 0.98s, 0.95s
30000,92, 0.64s, 0.69s, 0.77s
30000,88, 0.93s, 0.71s, 0.65s
30000,84, 0.70s, 0.62s, 0.64s
30000,80, 0.76s, 0.74s, 0.80s
30000,76, 0.64s, 0.73s, 0.65s
30000,72, 0.64s, 0.65s, 0.69s
30000,68, 0.66s, 0.70s, 0.73s
0000,64, 0.74s, 0.69s, 0.77s
30000,60, 0.77s, 0.74s, 0.82s
30000,56, 0.71s, 0.82s, 0.74s
30000,52, 0.85s, 0.88s, 0.84s
30000,48, 0.83s, 0.83s, 0.80s
30000,44, 0.82s, 0.83s, 0.96s
30000,40, 0.88s, 0.82s, 0.90s
30000,36, 0.93s, 0.91s, 0.91s
30000,32, 0.93s, 0.93s, 0.97s
30000,28, 1.06s, 1.08s, 1.03s
30000,24, 1.14s, 1.15s, 1.14s
30000,20, 1.34s, 1.32s, 1.34s
30000,16, 1.61s, 1.62s, 1.66s
30000,12, 2.15s, 2.15s, 2.15s
30000,8, 3.35s, 3.33s, 3.30s
30000,4, 7.58s, 7.62s, 7.66s
30000,2, 22.04s, 22.05s, 22.03s
30000,1, 51.80s, 51.92s, 52.02s
