Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
100.01      6.36     6.36    15030   423.21   423.21  _init
  0.00      6.36     0.00   105002     0.00     0.00  void std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> >::_M_realloc_insert<cl::sycl::memory_scope>(__gnu_cxx::__normal_iterator<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >, cl::sycl::memory_scope&&)
  0.00      6.36     0.00    90012     0.00     0.00  _ZZN2cl4sycl6detail28get_reduction_kernel_atomicsILb0ELi1EZZ4mainENKUlRNS0_7handlerEE_clES4_EUlNS0_2idILi1EEERT_E_NS1_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS4_T1_T2_RKNS0_5rangeIXT0_EEERKNS0_8nd_rangeIXT0_EEEENUlNS0_7nd_itemILi1EEEE_C2EOSR_
  0.00      6.36     0.00    60009     0.00     0.00  _ZNSt11_Tuple_implILm0EJN2cl4sycl6detail14reduction_implILb0EjLi1ESt4plusIjEEEZZ4mainENKUlRNS1_7handlerEE_clES8_EUlNS1_2idILi1EEERT_E_EEC2IS6_JSE_EvEEOSC_DpOT0_
  0.00      6.36     0.00    60006     0.00     0.00  cl::sycl::event cl::sycl::queue::submit<main::{lambda(cl::sycl::handler&)#1}>(main::{lambda(cl::sycl::handler&)#1})
  0.00      6.36     0.00    60004     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      6.36     0.00    60003     0.00     0.00  std::_Function_base::_Base_manager<void cl::sycl::handler::parallel_for_impl<cl::sycl::detail::computeCppMagicEmptyKernel, cl::sycl::detail::computeCppMagicKernel(cl::sycl::queue&)::{lambda(cl::sycl::handler&)#1}::operator()(cl::sycl::handler&) const::{lambda(cl::sycl::item<1, true>)#1}, 1>(cl::sycl::detail::index_array const&, cl::sycl::detail::index_array, cl::sycl::detail::computeCppMagicKernel(cl::sycl::queue&)::{lambda(cl::sycl::handler&)#1}::operator()(cl::sycl::handler&) const::{lambda(cl::sycl::item<1, true>)#1})::{lambda(cl::sycl::detail::item_base&)#1}>::_M_manager(std::_Any_data&, {lambda(cl::sycl::detail::item_base&)#1} const&, std::_Manager_operation)
  0.00      6.36     0.00    45031     0.00     0.00  _ZN2cl4sycl7handler12parallel_forI16TotientReductionIiELi1EJNS0_6detail14reduction_implILb0EjLi1ESt4plusIjEEEZZ4mainENKUlRS1_E_clESA_EUlNS0_2idILi1EEERT_E_EEEvRKNS0_5rangeIXT0_EEEDpT1_
  0.00      6.36     0.00    45005     0.00     0.00  cl::sycl::buffer<unsigned int, 1, cl::sycl::detail::aligned_mem::aligned_allocator>::buffer(unsigned int*, cl::sycl::range<1> const&, cl::sycl::property_list const&)
  0.00      6.36     0.00    45000     0.00     0.00  std::_Function_base::_Base_manager<void cl::sycl::handler::parallel_for_impl<cl::sycl::detail::computeCppMagicEmptyKernel, cl::sycl::detail::computeCppMagicKernel(cl::sycl::queue&)::{lambda(cl::sycl::handler&)#1}::operator()(cl::sycl::handler&) const::{lambda(cl::sycl::item<1, true>)#1}, 1>(cl::sycl::detail::index_array const&, cl::sycl::detail::index_array, cl::sycl::detail::computeCppMagicKernel(cl::sycl::queue&)::{lambda(cl::sycl::handler&)#1}::operator()(cl::sycl::handler&) const::{lambda(cl::sycl::item<1, true>)#1})::{lambda(cl::sycl::detail::item_base&)#1}>::_M_destroy(std::_Any_data&, std::integral_constant<bool, true>)
  0.00      6.36     0.00    30003     0.00     0.00  cl::sycl::detail::item_base::item_base(cl::sycl::detail::index_array, cl::sycl::detail::index_array, cl::sycl::detail::index_array)
  0.00      6.36     0.00    30001     0.00     0.00  cl::sycl::detail::id_range_base<unsigned long, 1, cl::sycl::id<1> >::id_range_base<unsigned long>(cl::sycl::detail::id_range_base<unsigned long, 1, cl::sycl::id<1> >::values_tag, unsigned long)
  0.00      6.36     0.00    30001     0.00     0.00  cl::sycl::detail::id_range_base<unsigned long, 1, cl::sycl::range<1> >::id_range_base<unsigned long>(cl::sycl::detail::id_range_base<unsigned long, 1, cl::sycl::range<1> >::values_tag, unsigned long)
  0.00      6.36     0.00    30000     0.00     0.00  cl::sycl::detail::make_base_allocator<int, cl::sycl::detail::aligned_mem::aligned_allocator>::get_buffer_allocator(cl::sycl::detail::aligned_mem::aligned_allocator)
  0.00      6.36     0.00    30000     0.00     0.00  _ZN2cl4sycl6detailL15get_handler_tagIZNS0_5queue6memsetEPvimEUlRNS0_7handlerEE_EEDTcmclfp_cl7declvalIS6_EEEtlNS1_20standard_handler_tagEEET_NS1_14handler_choiceILj0EEE
  0.00      6.36     0.00    30000     0.00     0.00  _ZN2cl4sycl7handler25process_functor_argumentsI16TotientReductionIiEZNS0_6detail28get_reduction_kernel_atomicsILb0ELi1EZZ4mainENKUlRS1_E_clES7_EUlNS0_2idILi1EEERT_E_NS5_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS7_T1_T2_RKNS0_5rangeIXT0_EEERKNS0_8nd_rangeIXT0_EEEEUlNS0_7nd_itemILi1EEEE_EEvRKT0_RNS0_6kernelEPNS5_29enqueue_device_kernel_commandE
  0.00      6.36     0.00    30000     0.00     0.00  cl::sycl::detail::nd_item_base::get_group_id() const
  0.00      6.36     0.00    30000     0.00     0.00  std::_Vector_base<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> >::_Vector_impl_data::_Vector_impl_data()
  0.00      6.36     0.00    30000     0.00     0.00  void std::_Destroy<char*, char>(char*, char*, std::allocator<char>&)
