Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 90.26      5.74     5.74 225015022     0.03     0.03  _init
  5.50      6.09     0.35                             deregister_tm_clones
  2.99      6.28     0.19                             _start
  1.26      6.36     0.08    15000     5.33     5.33  __gmon_start__
  0.00      6.36     0.00   135010     0.00     0.00  _ZNSt14_Function_base13_Base_managerIZN2cl4sycl6detail28get_reduction_kernel_atomicsILb1ELi1EZZ4mainENKUlRNS2_7handlerEE_clES6_EUlNS2_7nd_itemILi1EEERT_E_NS3_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS6_T1_T2_RKNS2_5rangeIXT0_EEERKNS2_8nd_rangeIXT0_EEEEUlS9_E_E8_M_cloneERSt9_Any_dataRKST_St17integral_constantIbLb0EE
  0.00      6.36     0.00    60010     0.00     0.00  _ZNSt17_Function_handlerIFvRN2cl4sycl6detail12nd_item_baseEEZNS2_28get_reduction_kernel_atomicsILb1ELi1EZZ4mainENKUlRNS1_7handlerEE_clES8_EUlNS1_7nd_itemILi1EEERT_E_NS2_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS8_T1_T2_RKNS1_5rangeIXT0_EEERKNS1_8nd_rangeIXT0_EEEEUlSB_E_E9_M_invokeERKSt9_Any_dataS4_
  0.00      6.36     0.00    60003     0.00     0.00  std::allocator<int>::~allocator()
  0.00      6.36     0.00    60002     0.00     0.00  _ZZN2cl4sycl7handler17parallel_for_implINS0_6detail26computeCppMagicEmptyKernelEZZNS3_L21computeCppMagicKernelERNS0_5queueEENKUlRS1_E_clES7_EUlNS0_4itemILi1ELb1EEEE_Li1EEEvRKNS3_11index_arrayESE_T0_ENUlRNS3_9item_baseEE_clESH_
  0.00      6.36     0.00    60001     0.00     0.00  std::_Vector_base<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> >::_Vector_impl_data::_Vector_impl_data()
  0.00      6.36     0.00    45008     0.00     0.00  _ZNSt14_Function_base13_Base_managerIZN2cl4sycl6detail28get_reduction_kernel_atomicsILb1ELi1EZZ4mainENKUlRNS2_7handlerEE_clES6_EUlNS2_7nd_itemILi1EEERT_E_NS3_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS6_T1_T2_RKNS2_5rangeIXT0_EEERKNS2_8nd_rangeIXT0_EEEEUlS9_E_E15_M_init_functorERSt9_Any_dataOSR_St17integral_constantIbLb0EE
  0.00      6.36     0.00    45001     0.00     0.00  cl::sycl::detail::reduction_impl<false, unsigned int, 1, std::plus<unsigned int> >::reduction_impl<cl::sycl::detail::aligned_mem::aligned_allocator>(cl::sycl::buffer<unsigned int, 1, cl::sycl::detail::aligned_mem::aligned_allocator>&, cl::sycl::handler&, std::plus<unsigned int>, cl::sycl::property_list const&)
  0.00      6.36     0.00    30012     0.00     0.00  cl::sycl::event cl::sycl::queue::submit<main::{lambda(cl::sycl::handler&)#1}>(main::{lambda(cl::sycl::handler&)#1})
  0.00      6.36     0.00    30003     0.00     0.00  std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> >::vector(std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> >&&)
